category,transactions,total_fees_usd,volume_usd,avg_fee_usd,fee_bps
Unmapped,19278,36272.949634908284,9300473.746640667,1.881572239594786,39.001184910618214
Meme Coin,146437,113433.40004988764,30064465.309436385,0.7746225342631141,37.73005735587923
Native Solana,9304745,602461.1184850306,188208609.31832227,0.06474773016187231,32.010284793405596
Tokenized RWA,6581,536.2921882453841,174611.92615957407,0.0814909874252217,30.713376803098672
Stablecoin,916364,602866.3105408231,260612857.67028597,0.6578895619435324,23.13263880877047
Liquid Staking,41148,8802.162844463273,7051678.849337498,0.21391471868531334,12.482364884342731
Cross-Chain Asset,64656,15895.192720133811,14695883.705656571,0.24584250062072832,10.816084992572183
