week_start,category,swap_events,pct_of_week,method
2026-03-23,Other,1052,0.0064238233473,all_events
2026-03-30,Native Solana,6002148,39.39116231646349,all_events
2026-03-30,Stablecoin,5897226,38.702575575088915,all_events
2026-03-30,Meme Coin,1620646,10.636047235677513,all_events
2026-03-30,Unmapped,935916,6.14227091210934,all_events
2026-03-30,Cross-Chain Asset,568240,3.729270600242983,all_events
2026-03-30,Liquid Staking,144090,0.94564022382974,all_events
2026-03-30,Tokenized RWA,61492,0.403562416848764,all_events
2026-03-30,Other,7538,0.04947071973925,all_events
2026-04-06,Native Solana,7366875,43.79049775845555,all_events
2026-04-06,Stablecoin,6047536,35.94802567604028,all_events
2026-04-06,Meme Coin,1527125,9.077602631968295,all_events
2026-04-06,Unmapped,1062425,6.31531274536722,all_events
2026-04-06,Cross-Chain Asset,623848,3.708304327902534,all_events
2026-04-06,Liquid Staking,122983,0.731040880404261,all_events
2026-04-06,Tokenized RWA,62782,0.37319148625046,all_events
2026-04-06,Other,9425,0.056024493611395,all_events
2026-04-13,Native Solana,8233589,44.611603930611786,all_events
2026-04-13,Stablecoin,6507380,35.25858033307037,all_events
2026-04-13,Meme Coin,1541324,8.351271337049527,all_events
2026-04-13,Unmapped,1020704,5.530424530346508,all_events
2026-04-13,Cross-Chain Asset,689723,3.737088321731064,all_events
2026-04-13,Tokenized RWA,296752,1.607875094277466,all_events
2026-04-13,Liquid Staking,157588,0.853850421756205,all_events
2026-04-13,Other,9100,0.049306031157077,all_events
2026-04-20,Native Solana,5322269,40.53874194274196,all_events
2026-04-20,Stablecoin,4688289,35.709833141465744,all_events
2026-04-20,Meme Coin,1316249,10.025626014655058,all_events
2026-04-20,Unmapped,1120891,8.537620138129428,all_events
2026-04-20,Cross-Chain Asset,507173,3.863043256048551,all_events
2026-04-20,Liquid Staking,118461,0.902295601608854,all_events
2026-04-20,Tokenized RWA,47042,0.358310242956616,all_events
2026-04-20,Other,8472,0.064529662393785,all_events
2026-04-27,Stablecoin,4695241,38.20031640767856,all_events
2026-04-27,Native Solana,4601011,37.43366442642871,all_events
2026-04-27,Meme Coin,1391777,11.32344894946386,all_events
2026-04-27,Unmapped,937387,7.626547816490055,all_events
2026-04-27,Cross-Chain Asset,521829,4.245582476107722,all_events
2026-04-27,Liquid Staking,108088,0.879400184116888,all_events
2026-04-27,Tokenized RWA,27678,0.225187239064348,all_events
2026-04-27,Other,8094,0.06585250064986,all_events
2026-05-04,Native Solana,6402400,41.125469939301006,all_events
2026-05-04,Stablecoin,6061457,38.93544102865576,all_events
2026-05-04,Meme Coin,1463056,9.397861043907591,all_events
2026-05-04,Unmapped,894025,5.742721208060037,all_events
2026-05-04,Cross-Chain Asset,539382,3.464691088779216,all_events
2026-05-04,Liquid Staking,150135,0.964384048065875,all_events
2026-05-04,Tokenized RWA,43123,0.276998256933724,all_events
2026-05-04,Other,14390,0.092433386296786,all_events
2026-05-11,Stablecoin,5338055,40.067116607693755,all_events
