category,transactions_total,transactions_with_fee_event,fee_event_coverage_pct,transactions_in_fee_ratio,total_fees_usd,priced_event_volume_usd,avg_fee_usd,fee_bps,fee_ratio_inclusion_pct,method
Native Solana,118460887,9385313,7.922710387944335,9304745.0,602461.1184850306,188208609.31832227,0.0647477301618723,32.0102847934056,7.854698065868779,all_events
Stablecoin,68525537,930935,1.358522735837882,916364.0,602866.3105408231,260612857.670286,0.6578895619435324,23.13263880877047,1.3372591301254597,all_events
Meme Coin,46677517,302363,0.647770103109812,146437.0,113433.40004988764,30064465.309436385,0.7746225342631141,37.73005735587923,0.3137206291414344,all_events
Unmapped,16355364,253016,1.546990944377637,19278.0,36272.94963490829,9300473.746640667,1.881572239594786,39.00118491061821,0.11786958700521738,all_events
Cross-Chain Asset,13425990,68801,0.512446381980025,64656.0,15895.192720133811,14695883.705656571,0.2458425006207283,10.816084992572184,0.48157342587027097,all_events
Liquid Staking,3370006,78233,2.321449872789544,41148.0,8802.162844463273,7051678.849337498,0.2139147186853133,12.482364884342733,1.221006728177932,all_events
Tokenized RWA,573675,8847,1.542162374166558,6581.0,536.2921882453841,174611.92615957407,0.0814909874252217,30.713376803098672,1.1471652067808429,all_events
Other,173100,0,0.0,,,,,,,all_events
