token_mint,swap_events,transactions_est,signers_est,estimate_exceeds_events,volume_usd,priced_swap_events,avg_priced_event_usd,in_volume_top50,method
Ce2gx9KGXJ6C9Mp5b5x1sn9Mg87JwEbrQby4Zqo3pump,163837.0,165318.0,4177.0,True,,,,False,all_events
ChNrhBZwGtn1ZRsrdzcuBqiKTYfVViCPZqJdsgBHpump,178525.0,183627.0,69868.0,True,,,,False,all_events
Cm6fNnMk7NfzStP9CZpsQA2v3jjzbcYGAxdJySmHpump,169816.0,171003.0,4826.0,True,,,,False,all_events
CrAr4RRJMBVwRsZtT62pEhfA9H5utymC2mVx8e7FreP2,625946.0,626548.0,7018.0,True,17447480.479179695,625946.0,27.873779014770754,True,all_events
CreiuhfwdWCN5mJbMJtA9bBpYQrQF2tCBuZwSPWfpump,365578.0,369859.0,2312.0,True,,,,False,all_events
CtzPWv73Sn1dMGVU3ZtLv9yWSyUAanBni19YWDaznnkn,821711.0,834400.0,1737.0,True,156874045.6418109,821711.0,190.91145870240376,True,all_events
DBRiDgJAMsM95moTzJs7M9LnkGErpbv9v6CUR1DXnUu5,159468.0,159515.0,3148.0,True,14945286.048252502,159468.0,93.71965565663646,True,all_events
DEkqHyPN7GMRJ5cArtQFAWefqbZb33Hyf6s5iCwjEonT,,,,,183642541.61723003,41092.0,4469.058250200283,True,all_events
DMYNp65mub3i7LRpBdB66CgBAceLcQnv4gsWeCi6pump,2201417.0,2204464.0,846826.0,True,,,,False,all_events
DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1244711.0,1235801.0,40550.0,False,62726407.51492362,1244711.0,50.39435460514418,True,all_events
Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,621259.0,637335.0,9098.0,True,89395574.42039283,621259.0,143.8942122695894,True,all_events
Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk,883387.0,864674.0,11100.0,False,73715888.56742327,883387.0,83.44687953006245,True,all_events
E714f3oiK3sA8WGBBpmgx7Vkptz7Xh7H9YNWjpkLpump,197107.0,190319.0,119482.0,False,,,,False,all_events
